,filename,txt,compra_de_terras,indeferido,cancelamento_titulo,ordem_servico,resgate_adm,titulo_aforamento,cotacao_eletronica,servidor_ferias,titulo_definitivo,apostilamento,filiacao_dominial,suspensao_revogacao_licitacao,prorrogar_prazo,retificacao,procedimento_adm,errata,processo_seletivo,servidor_diaria,cooperacao_tecnica,dispensa_licitacao,resultado_licitacao,regularizacao_fundiaria,contrato,servidor,ccdru,aviso_licitacao,analise_documentos,notifica_processo_adm,nao_onerosa,sem_efeito,permuta,onerosa,areas_rurais,terras_devolutas,outros,classificacao
0,DOE_2016-01-05.pdf,"12||3 portaria . portaria nº 0826/2015 o presidente do instituto de terras do pará - iterpa, no uso das atribuições que lhe são conferidas no art. 5º, alínea “b” da lei estadual nº 4.584, de 08 de outubro de 1975, e; considerando o memorando nº s/n/2015 - daf, datado de 09.12.2015. r e s o l v e: conceder de acordo com o art. 98, da lei nº 5.810 de 24.01.94, 30 (trinta) dias de licença premio ao servidor, jorge da silva santos, matrícula nº 33166791/1, engenheiro, no período de 06.01.2016 a 05.02.2016,correspondente ao período aquisitivo de 07.01.2009 a 06.01.2012.           publique-se. daniel nunes lopes presidente gabinete da presidência do instituto de terras do pará - iterpa, em 14 de dezembro de 2015. protocolo 914684",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,servidor
1,DOE_2016-01-05.pdf,"portaria nº 0825/2015 o presidente do instituto de terras do pará - iterpa, no uso das atribuições que lhe são conferidas no art. 5º, alínea “b” da lei estadual nº 4.584, de 08 de outubro de 1975, e; 13||1 considerando o memorando nº s/n/2015 - gcq, datado de09.12.2015. r e s o l v e: conceder de acordo com o art. 98, da lei nº 5.810 de 24.01.94, 60 (sessenta) dias de licença premio ao servidor manoel benedito costa aleixo,matrícula nº3166104/1,datilografo, no período de 07.12.2015 a 04.02.2016, correspondente ao processo nº 2014/32018. publique-se. daniel nunes lopes presidente gabinete da presidência do instituto de terras do pará -iterpa,em 14 de dezembro de 2015. protocolo 914695",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,servidor
2,DOE_2016-01-05.pdf,"portaria nº 0795/2015 o presidente do instituto de terras do pará - iterpa, no uso das atribuições que lhe são conferidas no art. 5º, alínea “b” da lei estadual nº 4.584, de 08 de outubro de 1975, e; considerando o memorando nº 052/2015 - ouvidoria, datado de 13.11.2015; r e s o l v e: conceder, o usufruto de 30(trinta),dias de gozo de férias ao servidor, aldenor gonçalves do nascimento, técnico ¨d¨ ,ouvidor, matrícula nº 3253929/1,no período de 10.12.2015 a 08.01.2016, concedida através da portaria nº 0333/2015 de 24 de junho de 2015, publicada no diário oﬁ cial nº. 32915/15 de 26/06/2015 e transferidas através da portaria nº 0359/15,de 09.07.2015, publicada no diário oﬁ cial nº 32926/15 de 13.07 .2015.          publique-se. daniel nunes lopes presidente gabinete da presidência do instituto de terras do pará-iterpa, em 26 de novembro de 2015 protocolo 914825",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,servidor_ferias
3,DOE_2016-01-05.pdf,"termo aditivo a contrato . extrato de termo 001/2015 - contrato nº: 011/2014 - iterpa aditivo nº: instituto de terras do pará contratante: cnpj: 05.089.495/0001-90 - iterpa prodepa - empresa de tecnologia da informação 05.059.613/0001-18 contratado: cpf: e comunicação do estado do pará objeto: prestação de serviço de tecnologia da informação-tic fundamentação legal: art. 24, inciso xvi, lei 8.666/93. justificativa: prorrogação da vigência contratual por doze meses. vigência: 01/01/2016 a 31/12/2016 r$10.887,97 (dez mil, oitocentos e oitenta e sete reais e noventa e sete valor mensal: centavos) r$130.655,64 (cento e trinta mil, seiscentos e cinquenta e cinco reais e valor global: sessenta e quatro centavos). projeto orçamento/ exercício: 2015 56.201.21.216.1377.6719 atividade: natureza de despesa 339139 fonte: 339139 rod. augusto montenegro, km 10, centro administrativo, endereço: icoaraci,. belém, pa, data assinatura: 30/12/2015 daniel ordenador: nunes cpf: 014.574.382-91 lopes protocolo 914788",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,contrato
4,DOE_2016-01-08.pdf,"17||2 portaria portaria nº 0884/2015 . o presidente do instituto de terras do pará - iterpa, no uso das atribuições que lhe são conferidas no art. 5º, alínea “b” da lei estadual nº 4.584, de 08 de outubro de 1975 e; considerando o memorando nº 081/2015 - deaf/daf, de 14.12.2015; r e s o l v e: designar a servidora gleicy merces de araujo rocha, técnico em gestão de desenvolvimento agrário e fundiário, matrícula nº 0000.-000-0, para responder pela coordenadoria de ação agrária e fundiária - caf, no período de 28.12.2015 a 26.01.2016, na ausência da titular, maria eloisa dos santos leal, matrícula nº 3170012-1, por motivo de férias. publique-se daniel nunes lopes presidente gabinete da presidência do instituto de terras do pará - iterpa,30 de dezembro de 2015                    protocolo 915979",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,servidor_ferias
5,DOE_2016-01-08.pdf,"portaria nº 0881/2015 o presidente do instituto de terras do pará - iterpa, no uso das atribuições que lhe são conferidas no art. 5º, alínea “b” da lei estadual nº 4.584, de 08 de outubro de 1975 e; considerando o memorando nº 008/2015 - gfc, de 19.10.2015; r e s o l v e: designar a servidora ivone luz da silva, matrícula nº 3165965-1, oﬁ cial administrativo, para responder pela gerência 17||3 de gestão financeira e contábil-gfc no período de 03.11.2015 a 02.12.2015, na ausência da titular, dorila sacramento cunha , matrícula nº 5432014/3, por motivo de férias. publique-se daniel nunes lopes presidente gabinete da presidência do instituto de terras do pará - iterpa, 30 de dezembro de 2015.                    protocolo 915985",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,servidor_ferias
6,DOE_2016-01-08.pdf,"portaria nº 0880/2015 o presidente do instituto de terras do pará - iterpa, no uso das atribuições que lhe confere a lei estadual nº 4.584, de 08 de outubro de 1975 e; considerando o memorando nº 051/2015 - cgir/deaf, de 21.122015; r e s o l v e: designar a servidora sannah mohamad birani, técnico em gestão de desenvolvimento agrário e fundiário, matrícula nº 57231780/1, para responder pela coordenadoria de cadastro e georreferenciamento de imóveis rurais - cgir, no período de 04.01.2016 a 02.02.2016, na ausência da titular mariceli nascimento moura ,matrícula nº 57191750/1, por motivo de férias. publique-se daniel nunes lopes presidente gabinete da presidência do instituto de terras do pará - iterpa,30 de dezembro de 2015                    protocolo 916000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,servidor
7,DOE_2016-01-08.pdf,"portaria nº0886/2015 o presidente do instituto de terras do pará - iterpa, no uso das atribuições que lhe confere o art. 5º alínea “b”da lei estadual nº 4.584, de 08 de outubro de 1975 e; considerando o laudo médico nº 175482a/1, de 14.12.2015. r e s o l v e: conceder, de acordo com o art.81, da lei nº 5.810/94, 05(cinco) dias de licença saúde à servidora, ana lindinalva velozo, datilógrafo matrícula nº 3169260/1, no período de 14.12.2015 a 18.12.2015. publique-se. daniel nunes lopes presidente gabinete da presidência instituto de terras do pará - iterpa, em 30 de dezembro de 2015. protocolo 916002",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,servidor
8,DOE_2016-01-08.pdf,"portaria nº 841/2015 o presidente do instituto de terras do pará - iterpa, no uso das atribuições que lhe confere o art. 5º alínea “b” da lei estadual nº 4.584, de 08 de outubro de 1975 e; considerando o laudo médico nº 175376a/1. r e s o l v e: conceder, de acordo com o art.81, da lei nº 5.810/94, 15 (quinze) dias, de licença saúde a servidora, ivone machado da silva, oﬁ cial administrativo, matrícula nº 3165973/1, no período de 09 de dezembro de 2015 a 23 de dezembro de 2015.          publique-se. daniel nunes lopes presidente gabinete da presidência instituto de terras do pará - iterpa, em 22 de dezembro de 2015. protocolo 916004",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,servidor
9,DOE_2016-01-11.pdf,"44||1 portaria portaria nº 001, de 05 de j.aneiro de 2016. o presidente do instituto de terras do pará- iterpa, no uso das atribuições que lhe confere o art. 5º da lei estadual nº 4.584, de 08 de outubro de 1975, e considerando as diretrizes ﬁ xadas no decreto nº 73, de 06 de abril de 2011, que alterou o decreto nº 2.363, de 31 de julho de 2006, autorizando o dirigente desta autarquia a promover e adotar todos os atos e providências legais necessárias à efetivação dos resgates administrativos das terras aforadas pelo estado do pará, observadas as disposições que regulamentam os contratos dessa natureza; considerando, ainda, que o processo administrativo nº 2011/272356-iterpa, tramitou regularmente recebendo pareceres favoráveis dos setores técnicos do órgão, resultando assim comprovados os requisitos essenciais exigidos para o 44||2 resgate dos imóveis rurais concedidos em regime enﬁ têutico. r e s o l v e : i - fica autorizada a regularização fundiária da área aforada mediante resgate em regime especial da “fazenda califórnia”, com 1.683ha95a52ca (um mil, seiscentos e oitenta e três hectares, noventa e cinco ares e cinquenta e dois centiares), situada no município de marabá, estado do pará, em favor do reinaldo josé zucatelli. ii - a gerência de aforamento - gea, deverá adotar todas as medidas complementares à execução do resgate enﬁ têutico a que se refere esta portaria, inclusive quanto à lavratura e assinatura dos respectivos termos em livro próprio integrante do acervo fundiário do estado do pará, sob a guarda e responsabilidade do iterpa. iii - assumidas tais providências, deverá ser fornecido ao beneﬁ ciário o translado do termo de resgate contendo o inteiro teor do respectivo resgate, que será levado ao cartório de registro de imóveis, para ulteriores providências. publique-se. daniel nunes lopes presidente protocolo 916417",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,regularizacao_fundiaria
